ieset_city_id,source_system,source_id,source_name,source_country_name,source_country_iso3,match_type,match_score,manual_review_required,source_id_column,source_name_column
ghsl_ucdb_r2024a:632,ghsl_ucdb_r2024a,632,Colombo [Sri Jayawardenepura Kotte],Sri Lanka,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:1461,ghsl_ucdb_r2024a,1461,San Francisco,United States,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:1667,ghsl_ucdb_r2024a,1667,Santo Domingo,Dominican Republic,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:9445,ghsl_ucdb_r2024a,9445,Harbin,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:2102,ghsl_ucdb_r2024a,2102,Casablanca,Morocco,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:1007,ghsl_ucdb_r2024a,1007,Dubai,United Arab Emirates,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:832,ghsl_ucdb_r2024a,832,Douala,Cameroon,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:9244,ghsl_ucdb_r2024a,9244,Kanpur,India,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:7676,ghsl_ucdb_r2024a,7676,Belo Horizonte,Brazil,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:2324,ghsl_ucdb_r2024a,2324,Sydney,Australia,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:1646,ghsl_ucdb_r2024a,1646,Medan,Indonesia,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:431,ghsl_ucdb_r2024a,431,Cape Town,South Africa,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:8326,ghsl_ucdb_r2024a,8326,Taiyuan,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:6167,ghsl_ucdb_r2024a,6167,Houston,United States,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:1985,ghsl_ucdb_r2024a,1985,Antananarivo,Madagascar,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:7687,ghsl_ucdb_r2024a,7687,Jaipur,India,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:3105,ghsl_ucdb_r2024a,3105,Guadalajara,México,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:2880,ghsl_ucdb_r2024a,2880,Ibadan,Nigeria,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:6131,ghsl_ucdb_r2024a,6131,Monterrey,México,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:1747,ghsl_ucdb_r2024a,1747,Melbourne,Australia,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:2659,ghsl_ucdb_r2024a,2659,Ürümqi,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:39,ghsl_ucdb_r2024a,39,Dakar,Senegal,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:391,ghsl_ucdb_r2024a,391,Bamako,Mali,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:5071,ghsl_ucdb_r2024a,5071,Barcelona,Spain,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:2907,ghsl_ucdb_r2024a,2907,Tashkent,Uzbekistan,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:1822,ghsl_ucdb_r2024a,1822,Kathmandu,Nepal,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:8388,ghsl_ucdb_r2024a,8388,Recife,Brazil,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:11630,ghsl_ucdb_r2024a,11630,Wenzhou,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:9603,ghsl_ucdb_r2024a,9603,Jinan,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:10008,ghsl_ucdb_r2024a,10008,Varanasi,India,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:1619,ghsl_ucdb_r2024a,1619,Damascus,Syria,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:3993,ghsl_ucdb_r2024a,3993,Sana'a,Yemen,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:475,ghsl_ucdb_r2024a,475,Kuwait City,Kuwait,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:4921,ghsl_ucdb_r2024a,4921,Ankara,Turkey,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:6000,ghsl_ucdb_r2024a,6000,Savar,Bangladesh,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:9843,ghsl_ucdb_r2024a,9843,Nanning,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:10449,ghsl_ucdb_r2024a,10449,Qingdao,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:1517,ghsl_ucdb_r2024a,1517,Lusaka,Zambia,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:10831,ghsl_ucdb_r2024a,10831,Nanchang,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:1487,ghsl_ucdb_r2024a,1487,Ouagadougou,Burkina Faso,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:10113,ghsl_ucdb_r2024a,10113,Dalian,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:8565,ghsl_ucdb_r2024a,8565,Indore,India,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:4952,ghsl_ucdb_r2024a,4952,Kasaï-Oriental,Democratic Republic of the Congo,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:7131,ghsl_ucdb_r2024a,7131,Owerri,Nigeria,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:4992,ghsl_ucdb_r2024a,4992,Karaj,Iran,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:5483,ghsl_ucdb_r2024a,5483,Berlin,Germany,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:299,ghsl_ucdb_r2024a,299,Maputo,Mozambique,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:9637,ghsl_ucdb_r2024a,9637,Changchun,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:4277,ghsl_ucdb_r2024a,4277,Peshawar,Pakistan,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:7910,ghsl_ucdb_r2024a,7910,Washington,United States,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:9464,ghsl_ucdb_r2024a,9464,Kollam,India,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:10586,ghsl_ucdb_r2024a,10586,Patna,India,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:9410,ghsl_ucdb_r2024a,9410,Nagpur,India,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:11623,ghsl_ucdb_r2024a,11623,Quanzhou,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:8154,ghsl_ucdb_r2024a,8154,Fortaleza,Brazil,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:3397,ghsl_ucdb_r2024a,3397,Algiers,Algeria,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:8238,ghsl_ucdb_r2024a,8238,Salvador,Brazil,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:6785,ghsl_ucdb_r2024a,6785,Semarang,Indonesia,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:4787,ghsl_ucdb_r2024a,4787,Durban,South Africa,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:3920,ghsl_ucdb_r2024a,3920,Busan,South Korea,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:792,ghsl_ucdb_r2024a,792,Guayaquil,Ecuador,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:10229,ghsl_ucdb_r2024a,10229,Changsha,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:3700,ghsl_ucdb_r2024a,3700,Montreal,Canada,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:8013,ghsl_ucdb_r2024a,8013,Kunming,China,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:2676,ghsl_ucdb_r2024a,2676,Medellín,Colombia,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:7739,ghsl_ucdb_r2024a,7739,Kalyan-Dombivli,India,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:5065,ghsl_ucdb_r2024a,5065,Cebu City,Philippines,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:427,ghsl_ucdb_r2024a,427,Brazzaville,Republic of the Congo,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:9612,ghsl_ucdb_r2024a,9612,Thiruvananthapuram,India,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
ghsl_ucdb_r2024a:854,ghsl_ucdb_r2024a,854,Athens,Greece,,canonical_native_id,1.0,False,ID_UC_G0,GC_UCN_MAI_2025
