ieset_state_id,source_system,source_id,source_name,source_country_iso3,match_type,match_score,manual_review_required,source_id_column,source_name_column
US-PA,iso_3166_2,US-PA,Pennsylvania,USA,native_code,1.0,False,iso_3166_2,state_name
US-PA,us_fips_state,42,Pennsylvania,USA,native_code,1.0,False,state_fips,state_name
US-PA,us_state_abbr,PA,Pennsylvania,USA,native_code,1.0,False,state_abbr,state_name
US-RI,iso_3166_2,US-RI,Rhode Island,USA,native_code,1.0,False,iso_3166_2,state_name
US-RI,us_fips_state,44,Rhode Island,USA,native_code,1.0,False,state_fips,state_name
US-RI,us_state_abbr,RI,Rhode Island,USA,native_code,1.0,False,state_abbr,state_name
US-SC,iso_3166_2,US-SC,South Carolina,USA,native_code,1.0,False,iso_3166_2,state_name
US-SC,us_fips_state,45,South Carolina,USA,native_code,1.0,False,state_fips,state_name
US-SC,us_state_abbr,SC,South Carolina,USA,native_code,1.0,False,state_abbr,state_name
US-SD,iso_3166_2,US-SD,South Dakota,USA,native_code,1.0,False,iso_3166_2,state_name
US-SD,us_fips_state,46,South Dakota,USA,native_code,1.0,False,state_fips,state_name
US-SD,us_state_abbr,SD,South Dakota,USA,native_code,1.0,False,state_abbr,state_name
US-TN,iso_3166_2,US-TN,Tennessee,USA,native_code,1.0,False,iso_3166_2,state_name
US-TN,us_fips_state,47,Tennessee,USA,native_code,1.0,False,state_fips,state_name
US-TN,us_state_abbr,TN,Tennessee,USA,native_code,1.0,False,state_abbr,state_name
US-TX,iso_3166_2,US-TX,Texas,USA,native_code,1.0,False,iso_3166_2,state_name
US-TX,us_fips_state,48,Texas,USA,native_code,1.0,False,state_fips,state_name
US-TX,us_state_abbr,TX,Texas,USA,native_code,1.0,False,state_abbr,state_name
US-UT,iso_3166_2,US-UT,Utah,USA,native_code,1.0,False,iso_3166_2,state_name
US-UT,us_fips_state,49,Utah,USA,native_code,1.0,False,state_fips,state_name
US-UT,us_state_abbr,UT,Utah,USA,native_code,1.0,False,state_abbr,state_name
US-VT,iso_3166_2,US-VT,Vermont,USA,native_code,1.0,False,iso_3166_2,state_name
US-VT,us_fips_state,50,Vermont,USA,native_code,1.0,False,state_fips,state_name
US-VT,us_state_abbr,VT,Vermont,USA,native_code,1.0,False,state_abbr,state_name
US-VA,iso_3166_2,US-VA,Virginia,USA,native_code,1.0,False,iso_3166_2,state_name
US-VA,us_fips_state,51,Virginia,USA,native_code,1.0,False,state_fips,state_name
US-VA,us_state_abbr,VA,Virginia,USA,native_code,1.0,False,state_abbr,state_name
US-WA,iso_3166_2,US-WA,Washington,USA,native_code,1.0,False,iso_3166_2,state_name
US-WA,us_fips_state,53,Washington,USA,native_code,1.0,False,state_fips,state_name
US-WA,us_state_abbr,WA,Washington,USA,native_code,1.0,False,state_abbr,state_name
US-WV,iso_3166_2,US-WV,West Virginia,USA,native_code,1.0,False,iso_3166_2,state_name
US-WV,us_fips_state,54,West Virginia,USA,native_code,1.0,False,state_fips,state_name
US-WV,us_state_abbr,WV,West Virginia,USA,native_code,1.0,False,state_abbr,state_name
US-WI,iso_3166_2,US-WI,Wisconsin,USA,native_code,1.0,False,iso_3166_2,state_name
US-WI,us_fips_state,55,Wisconsin,USA,native_code,1.0,False,state_fips,state_name
US-WI,us_state_abbr,WI,Wisconsin,USA,native_code,1.0,False,state_abbr,state_name
US-WY,iso_3166_2,US-WY,Wyoming,USA,native_code,1.0,False,iso_3166_2,state_name
US-WY,us_fips_state,56,Wyoming,USA,native_code,1.0,False,state_fips,state_name
US-WY,us_state_abbr,WY,Wyoming,USA,native_code,1.0,False,state_abbr,state_name
US-GU,iso_3166_2,US-GU,Guam,USA,native_code,1.0,False,iso_3166_2,state_name
US-GU,us_fips_state,66,Guam,USA,native_code,1.0,False,state_fips,state_name
US-GU,us_state_abbr,GU,Guam,USA,native_code,1.0,False,state_abbr,state_name
US-PR,iso_3166_2,US-PR,Puerto Rico,USA,native_code,1.0,False,iso_3166_2,state_name
US-PR,us_fips_state,72,Puerto Rico,USA,native_code,1.0,False,state_fips,state_name
US-PR,us_state_abbr,PR,Puerto Rico,USA,native_code,1.0,False,state_abbr,state_name
US-VI,iso_3166_2,US-VI,U.S. Virgin Islands,USA,native_code,1.0,False,iso_3166_2,state_name
US-VI,us_fips_state,78,U.S. Virgin Islands,USA,native_code,1.0,False,state_fips,state_name
US-VI,us_state_abbr,VI,U.S. Virgin Islands,USA,native_code,1.0,False,state_abbr,state_name
